key | NewOrdId | OrdId | OrigOrdId | Symbol | Side | ClientId | LmtPrc | Qty | VolDone | AvgPrc | DayVolDone | DayAvgPrc | NewTimeStamp | UpdateTimeStamp | LastFillTimeStamp | Currency | Sedol | Isin | SecurityName | Exchange | Text | Account
20161014-00013-00001 | 20161014-00013-00001 | 20161014-00013-00001 |  | AAPL | buy | PT-BNP |  | 100000 | 0 | 0 | 0 | 0 | 2016/10/14 05:25:26.000 | 2016/10/14 05:25:26.000 | 0 | USD |  | US0378331005 |  | XNYS | jlo003 | 
20161014-00051-00001 | 20161014-00051-00001 | 20161014-00051-00001 |  | HSBA | buy | PT-JPM | 37.54 | 20000 | 0 | 0.0 | 0 | 0 | 2016/10/14 08:13:25.000 | 2016/10/14 08:13:26.112 | 0 | GBP | 0540528 |  |  | LN | EX:UAT  jlo | 
20161014-00050-00001 | 20161014-00050-00001 | 20161014-00050-00001 |  | RB/ | buy | PT-JPM | 37.54 | 20000 | 0 | 0.0 | 0 | 0 | 2016/10/14 08:12:43.000 | 2016/10/14 08:12:44.123 | 0 | GBP | B24CGK7 |  |  | LN | EX:UAT jlo | 
20161014-00026-00001 | 20161014-00026-00001 | 20161014-00026-00001 |  | 5 | buy | PT-JPM | 59.0 | 60000 | 0 | 0 | 0 | 0 | 2016/10/14 06:30:28.000 | 2016/10/14 06:30:28.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT | 
20161014-00036-00001 | 20161014-00036-00001 | 20161014-00036-00001 |  | AKRA | buy | PT-ALLI | 6375.0 | 1000 | 0 | 0 | 0 | 0 | 2016/10/14 07:11:57.000 | 2016/10/14 07:11:57.000 | 0 | IDR | 6048156 | ID1000106701 | AKR CORPORINDO TBK PT | XIDX | ACT AUTO | 
20161014-00010-00001 | 20161014-00010-00001 | 20161014-00010-00001 |  | 5 | buy | ALGO3KA | 60.0 | 60000 | 0 | 0 | 0 | 0 | 2016/10/14 04:09:26.000 | 2016/10/14 04:09:26.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT TusharKant_Broker Code 2 | 
20161014-00029-00001 | 20161014-00029-00001 | 20161014-00029-00001 |  | 939 | buy | PT-JPM | 6.0 | 90000 | 0 | 0 | 0 | 0 | 2016/10/14 06:46:59.000 | 2016/10/14 06:46:59.000 | 0 | HKD | B0LMTQ3 | CNE1000002H1 | CHINA CONSTRUCTION BANK-H | XHKG | EX:UAT | 
20161014-00007-00001 | 20161014-00007-00001 | 20161014-00007-00001 |  | 5 | buy | SKY | 60.0 | 80000 | 0 | 0 | 0 | 0 | 2016/10/14 03:36:15.000 | 2016/10/14 03:36:15.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT TK 4 | 
20161014-00045-00001 | 20161014-00045-00001 | 20161014-00045-00001 |  | 939 | buy | ALGO3KA | 6.0 | 40000 | 0 | 0 | 0 | 0 | 2016/10/14 07:57:33.000 | 2016/10/14 07:57:33.000 | 0 | HKD | B0LMTQ3 | CNE1000002H1 | CHINA CONSTRUCTION BANK-H | XHKG | EX:UAT | 
20161014-00032-00001 | 20161014-00032-00001 | 20161014-00032-00001 |  | 5 | buy | ALGO3KA | 62.0 | 20000 | 0 | 0 | 0 | 0 | 2016/10/14 07:01:07.000 | 2016/10/14 07:01:07.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT | 
20161014-00003-00001 | 20161014-00003-00001 | 20161014-00003-00001 |  | 939 | buy | PT-JPM | 5.6 | 1000 | 0 | 0 | 0 | 0 | 2016/10/14 03:02:39.000 | 2016/10/14 03:02:39.000 | 0 | HKD | B0LMTQ3 | CNE1000002H1 | CHINA CONSTRUCTION BANK-H | XHKG | EX:UAT | 
20161014-00006-00001 | 20161014-00006-00001 | 20161014-00006-00001 |  | 5 | buy | SKY | 60.0 | 80000 | 0 | 0 | 0 | 0 | 2016/10/14 03:17:26.000 | 2016/10/14 03:17:26.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT TK 2 | 
20161014-00017-00001 | 20161014-00017-00001 | 20161014-00017-00001 |  | ABBA | buy | PT-JPM | 50.0 | 60000 | 0 | 0.0 | 0 | 0 | 2016/10/14 05:52:18.000 | 2016/10/14 05:52:17.000 | 0 | IDR | 6520847 | ID1000087208 | MAHAKA MEDIA TBK PT | XIDX | EX:UAT TusharK BrkCode_IDR 2 | 
20161014-00004-00001 | 20161014-00004-00001 | 20161014-00004-00001 |  | RB/ | sell | PT-MER | 72.26 | 10000 | 10000 | 72.26 | 0 | 0 | 2016/10/14 03:03:26.000 | 2016/10/14 07:06:57.000 | 2016/10/14 07:06:57.000 | GBP | B24CGK7 |  |  | LN | DAIWA PT TEST | 
20161014-00047-00001 | 20161014-00047-00001 | 20161014-00047-00001 |  | 5 | buy | ALGO3KA | 62.0 | 20000 | 0 | 0 | 0 | 0 | 2016/10/14 08:03:14.000 | 2016/10/14 08:03:14.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT | 
20161014-00027-00001 | 20161014-00027-00001 | 20161014-00027-00001 |  | 5 | sell | PT-JPM | 61.0 | 30000 | 0 | 0 | 0 | 0 | 2016/10/14 06:34:40.000 | 2016/10/14 06:34:40.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT | 
20161014-00033-00001 | 20161014-00033-00001 | 20161014-00033-00001 |  | 939 | sell | ALGO3KA | 6.1 | 80000 | 0 | 0 | 0 | 0 | 2016/10/14 07:03:22.000 | 2016/10/14 07:03:22.000 | 0 | HKD | B0LMTQ3 | CNE1000002H1 | CHINA CONSTRUCTION BANK-H | XHKG | EX:UAT | 
20161014-00002-00001 | 20161014-00002-00001 | 20161014-00002-00001 |  | RB/ | sell | PT-MER | 72.26 | 10000 | 0 | 0.0 | 0 | 0 | 2016/10/14 03:02:02.000 | 2016/10/14 03:02:03.157 | 0 | GBP | B24CGK7 |  |  | LN | DAIWA PT TEST | 
20161014-00046-00001 | 20161014-00046-00001 | 20161014-00046-00001 |  | 5 | buy | PT-JPM | 58.5 | 60000 | 0 | 0 | 0 | 0 | 2016/10/14 08:00:42.000 | 2016/10/14 08:00:42.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT | 
20161014-00024-00001 | 20161014-00024-00001 | 20161014-00024-00001 |  | 5 | buy | PT-JPM |  | 20000 | 0 | 0 | 0 | 0 | 2016/10/14 06:23:41.000 | 2016/10/14 06:23:41.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT | 
20161014-00020-00001 | 20161014-00020-00001 | 20161014-00020-00001 |  | AKRA | buy | PT-ALLI | 6375.0 | 1000 | 0 | 0.0 | 0 | 0 | 2016/10/14 06:08:01.000 | 2016/10/14 06:08:02.125 | 0 | IDR | 6048156 | ID1000106701 | AKR CORPORINDO TBK PT | XIDX | ACT ANY | 
20161014-00048-00001 | 20161014-00048-00001 | 20161014-00048-00001 |  | HSBA | sell | PT-UBS |  | 14000 | 0 | 0.0 | 0 | 0 | 2016/10/14 08:12:04.000 | 2016/10/14 08:12:05.125 | 0 | GBP | 0540528 |  |  | LN |  | 
20161014-00005-00001 | 20161014-00005-00001 | 20161014-00005-00001 |  | 5 | buy | SKY | 60.0 | 80000 | 0 | 0 | 0 | 0 | 2016/10/14 03:15:11.000 | 2016/10/14 03:15:11.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | TK_Test1 | 
20161014-00043-00001 | 20161014-00043-00001 | 20161014-00043-00001 |  | 14 | buy | PT-UBS | 42.0 | 5000 | 0 | 0.0 | 0 | 0 | 2016/10/14 07:43:41.000 | 2016/10/14 07:43:42.114 | 0 | HKD | 6449629 | HK0014000126 | HYSAN DEVELOPMENT CO | XHKG | EX:UAT_TM_SSE2_PT_TC616 | 
20161014-00038-00001 | 20161014-00038-00001 | 20161014-00038-00001 |  | CKRA | buy | PT-JPM | 65.0 | 2000 | 0 | 0 | 0 | 0 | 2016/10/14 07:23:57.000 | 2016/10/14 07:23:57.000 | 0 | IDR | 6156639 | ID1000072606 | CAKRA MINERAL TBK PT | XIDX | EX:UAT TusharK_IDR | 
20161014-00028-00001 | 20161014-00028-00001 | 20161014-00028-00001 |  | 939 | sell | PT-JPM |  | 60000 | 0 | 0 | 0 | 0 | 2016/10/14 06:44:18.000 | 2016/10/14 06:44:18.000 | 0 | HKD | B0LMTQ3 | CNE1000002H1 | CHINA CONSTRUCTION BANK-H | XHKG | EX:UAT | 
20161014-00041-00001 | 20161014-00041-00001 | 20161014-00041-00001 |  | AKRA | buy | PT-ALLI | 6375.0 | 1000 | 0 | 0 | 0 | 0 | 2016/10/14 07:28:46.000 | 2016/10/14 07:28:46.000 | 0 | IDR | 6048156 | ID1000106701 | AKR CORPORINDO TBK PT | XIDX | EX:UAT TusharK_IDR | 
20161014-00039-00001 | 20161014-00039-00001 | 20161014-00039-00001 |  | AKRA | buy | PT-ALLI | 6375.0 | 1000 | 0 | 0 | 0 | 0 | 2016/10/14 07:27:40.000 | 2016/10/14 07:27:40.000 | 0 | IDR | 6048156 | ID1000106701 | AKR CORPORINDO TBK PT | XIDX | EX:UAT TusharK_IDR | 
20161014-00014-00001 | 20161014-00014-00001 | 20161014-00014-00003 | 20161014-00014-00001 | 1 | buy | ALGO3KA |  | 10000 | 0 | 0.0 | 0 | 0 | 2016/10/14 05:26:26.000 | 2016/10/14 05:29:28.000 | 0 | HKD | BW9P816 | KYG217651051 | CK HUTCHISON HOLDINGS LTD | XHKG |  | 
20161014-00012-00001 | 20161014-00012-00001 | 20161014-00012-00001 |  | AAPL | buy | PT-BNP |  | 123000 | 0 | 0 | 0 | 0 | 2016/10/14 05:23:34.000 | 2016/10/14 05:23:34.000 | 0 | USD |  | US0378331005 |  | XNYS | jlo 002 | 
20161014-00042-00001 | 20161014-00042-00001 | 20161014-00042-00001 |  | 14 | buy | PT-UBS | 40.0 | 5000 | 0 | 0.0 | 0 | 0 | 2016/10/14 07:31:29.000 | 2016/10/14 07:31:29.133 | 0 | HKD | 6449629 | HK0014000126 | HYSAN DEVELOPMENT CO | XHKG | EX:UAT_TM_SSE2_PT_TC616 | 
20161014-00037-00001 | 20161014-00037-00001 | 20161014-00037-00001 |  | ABBA | buy | PT-JPM | 50.0 | 20000 | 0 | 0.0 | 0 | 0 | 2016/10/14 07:19:17.000 | 2016/10/14 07:19:16.000 | 0 | IDR | 6520847 | ID1000087208 | MAHAKA MEDIA TBK PT | XIDX | EX:UAT Tushar K Brk Code IDR 6 | 
20161014-00016-00001 | 20161014-00016-00001 | 20161014-00016-00001 |  | ABBA | buy | PT-JPM | 50.0 | 200000 | 0 | 0.0 | 0 | 0 | 2016/10/14 05:42:27.000 | 2016/10/14 05:42:28.144 | 0 | IDR | 6520847 | ID1000087208 | MAHAKA MEDIA TBK PT | XIDX | EX:UAT TK_BrkCode_IDR 1 | 
20161014-00009-00001 | 20161014-00009-00001 | 20161014-00009-00001 |  | 1 | buy | ALGO3KA | 25.9 | 50000 | 0 | 0.0 | 0 | 0 | 2016/10/14 03:58:27.000 | 2016/10/14 03:58:28.128 | 0 | HKD | BW9P816 | KYG217651051 | CK HUTCHISON HOLDINGS LTD | XHKG | EX:UAT jlo123 | 
20161014-00049-00001 | 20161014-00049-00001 | 20161014-00049-00001 |  | HSBA | sell | PT-UBS |  | 14000 | 0 | 0.0 | 0 | 0 | 2016/10/14 08:12:16.000 | 2016/10/14 08:12:17.116 | 0 | GBP | 0540528 |  |  | LN |  | 
20161014-00015-00001 | 20161014-00015-00001 | 20161014-00015-00013 | 20161014-00015-00003 | 1 | buy | ALGO3KA |  | 7500 | 4500 | 96.5667 | 0 | 0 | 2016/10/14 05:29:43.000 | 2016/10/14 06:57:54.000 | 2016/10/14 06:57:41.000 | HKD | BW9P816 | KYG217651051 | CK HUTCHISON HOLDINGS LTD | XHKG |  | 
20161014-00030-00001 | 20161014-00030-00001 | 20161014-00030-00001 |  | 5 | buy | ALGO3KA |  | 10000 | 0 | 0 | 0 | 0 | 2016/10/14 06:49:29.000 | 2016/10/14 06:49:29.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT | 
20161014-00021-00001 | 20161014-00021-00001 | 20161014-00021-00001 |  | AKRA | buy | PT-ALLI | 6375.0 | 1000 | 0 | 0.0 | 0 | 0 | 2016/10/14 06:11:47.000 | 2016/10/14 06:11:46.000 | 0 | IDR | 6048156 | ID1000106701 | AKR CORPORINDO TBK PT | XIDX | ACT AUTO | 
20161014-00018-00001 | 20161014-00018-00001 | 20161014-00018-00001 |  | AKRA | buy | PT-ALLI | 6375.0 | 1000 | 0 | 0.0 | 0 | 0 | 2016/10/14 06:04:16.000 | 2016/10/14 06:04:16.167 | 0 | IDR | 6048156 | ID1000106701 | AKR CORPORINDO TBK PT | XIDX | ACT | 
20161014-00040-00001 | 20161014-00040-00001 | 20161014-00040-00001 |  | AKRA | buy | PT-ALLI | 6375.0 | 1000 | 0 | 0 | 0 | 0 | 2016/10/14 07:28:21.000 | 2016/10/14 07:28:21.000 | 0 | IDR | 6048156 | ID1000106701 | AKR CORPORINDO TBK PT | XIDX | ACT AUTO | 
20161014-00011-00001 | 20161014-00011-00001 | 20161014-00011-00001 |  | AAPL | buy | PT-BNP |  | 32100 | 0 | 0 | 0 | 0 | 2016/10/14 05:20:42.000 | 2016/10/14 05:20:42.000 | 0 | USD |  | US0378331005 |  | XNYS | jlo | 
20161014-00008-00001 | 20161014-00008-00001 | 20161014-00008-00001 |  | 5 | buy | PT-JPM | 60.0 | 40000 | 0 | 0 | 0 | 0 | 2016/10/14 03:51:36.000 | 2016/10/14 03:51:36.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT TUsharKant_Broker Code_1 | 
20161014-00019-00001 | 20161014-00019-00001 | 20161014-00019-00001 |  | AKRA | buy | PT-ALLI | 6375.0 | 1000 | 0 | 0.0 | 0 | 0 | 2016/10/14 06:06:25.000 | 2016/10/14 06:06:26.119 | 0 | IDR | 6048156 | ID1000106701 | AKR CORPORINDO TBK PT | XIDX | ACT | 
20161014-00025-00001 | 20161014-00025-00001 | 20161014-00025-00001 |  | 5 | sell | PT-JPM | 60.0 | 40000 | 0 | 0 | 0 | 0 | 2016/10/14 06:26:52.000 | 2016/10/14 06:26:52.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT | 
20161014-00044-00001 | 20161014-00044-00001 | 20161014-00044-00001 |  | 5 | sell | PT-JPM | 58.5 | 40000 | 0 | 0 | 0 | 0 | 2016/10/14 07:54:31.000 | 2016/10/14 07:54:31.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT | 
20161014-00035-00001 | 20161014-00035-00001 | 20161014-00035-00001 |  | 939 | sell | ALGO3KA | 6.2 | 40000 | 0 | 0 | 0 | 0 | 2016/10/14 07:08:26.000 | 2016/10/14 07:08:26.000 | 0 | HKD | B0LMTQ3 | CNE1000002H1 | CHINA CONSTRUCTION BANK-H | XHKG | EX:UAT | 
20161014-00022-00001 | 20161014-00022-00001 | 20161014-00022-00001 |  | 5 | buy | PT-JPM | 58.2 | 80000 | 0 | 0.0 | 0 | 0 | 2016/10/14 06:15:06.000 | 2016/10/14 06:15:06.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT TusharK Broker Code HK 2 | 
20161014-00023-00001 | 20161014-00023-00001 | 20161014-00023-00001 |  | 5 | buy | PT-JPM | 49.1 | 20000 | 0 | 0 | 0 | 0 | 2016/10/14 06:17:05.000 | 2016/10/14 06:17:05.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT Brk Code HK 5 | 
20161014-00031-00001 | 20161014-00031-00001 | 20161014-00031-00001 |  | 939 | sell | ALGO3KA | 6.0 | 40000 | 0 | 0 | 0 | 0 | 2016/10/14 06:52:09.000 | 2016/10/14 06:52:09.000 | 0 | HKD | B0LMTQ3 | CNE1000002H1 | CHINA CONSTRUCTION BANK-H | XHKG | EX:UAT | 
20161014-00001-00001 | 20161014-00001-00001 | 20161014-00001-00001 |  | 939 | buy | PT-JPM | 5.6 | 1000 | 0 | 0.0 | 0 | 0 | 2016/10/14 03:01:27.000 | 2016/10/14 03:01:27.000 | 0 | HKD | B0LMTQ3 | CNE1000002H1 | CHINA CONSTRUCTION BANK-H | XHKG | EX:UAT | 
20161014-00034-00001 | 20161014-00034-00001 | 20161014-00034-00001 |  | 5 | sell | ALGO3KA |  | 20000 | 0 | 0 | 0 | 0 | 2016/10/14 07:06:03.000 | 2016/10/14 07:06:03.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT | 
